Lag,Q,p
50,38.54745098778283,0.8807092833109794
100,78.58860473658245,0.9440722308457303
150,158.332344098178,0.30475752328782724
200,249.3073069584444,0.01015980501957936
250,341.44924978990264,0.00010559645601460055
