Date,N1,N2,N3,N4,N5
2013-03-08,10,12,14,30,43
2013-03-01,19,28,29,34,44
2013-02-22,3,13,41,46,49
2013-02-15,4,9,26,32,40
2013-02-08,12,14,17,27,43
2013-02-01,2,4,14,26,29
2013-01-25,4,13,28,37,38
2013-01-18,9,13,21,28,45
2013-01-11,6,31,37,41,49
2013-01-04,6,20,29,40,45
2012-12-28,5,8,22,32,39
2012-12-21,11,20,24,25,35
2012-12-14,17,28,31,35,39
2012-12-07,13,20,22,27,42
2012-11-30,2,13,21,24,37
2012-11-23,1,21,32,36,50
2012-11-16,1,4,7,21,26
2012-11-09,25,29,38,41,44
2012-11-02,3,5,7,12,31
2012-10-26,7,17,18,19,22
2012-10-19,6,14,18,19,48
2012-10-12,6,11,17,43,49
2012-10-05,26,28,40,49,50
2012-09-28,5,14,16,34,39
2012-09-21,18,29,41,44,49
2012-09-14,10,14,15,24,47
2012-09-07,15,23,25,46,49
2012-08-31,8,22,28,40,42
2012-08-24,9,20,21,33,49
2012-08-17,3,16,30,34,35
2012-08-10,6,11,40,46,48
2012-08-03,12,15,18,24,25
2012-07-27,9,22,23,34,35
2012-07-20,6,9,13,14,25
2012-07-13,8,12,27,31,37
2012-07-06,10,22,24,33,38
2012-06-29,5,8,19,33,36
2012-06-22,13,14,16,47,49
2012-06-15,6,10,17,18,42
2012-06-08,10,15,16,36,44
2012-06-01,11,28,34,37,38
2012-05-25,4,11,26,32,41
2012-05-18,12,18,43,44,46
2012-05-11,15,21,38,39,47
2012-05-04,29,30,35,41,45
2012-04-27,10,13,19,40,45
2012-04-20,10,16,30,41,45
2012-04-13,5,11,12,27,32
2012-04-06,7,8,34,36,38
2012-03-30,5,7,12,19,26
2012-03-23,5,8,21,37,46
